College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GNT3S,769,99.7173291,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GOBCS,731,99.733609,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GSEBCS,733,99.7297297,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LOPENS,275,99.8864805,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LSCS,6905,98.0091509,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LSTS,21710,93.6950602,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LVJS,9070,97.4020979,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LNT2S,2617,99.184953,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LOBCS,877,99.6942797,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,LSEBCS,1106,99.615761,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,PWDOPENS,7959,97.7179034,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,PWDOBCS,26950,92.0891128,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,DEFOPENS,851,99.6967056,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,DEFOBCS,3454,98.9622679,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,TFWS,310,99.8748528,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,PWDRSEBCS,22143,93.5688239,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,DEFRSEBCS,2477,99.2238971,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,ORPHAN,67092,79.6925092,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,EWS,1243,99.5791797,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GOPENS,1437,99.5244755,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GSCS,11718,96.6549667,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GSTS,38078,88.7615737,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GVJS,9429,97.2912672,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GNT1S,3804,98.861374,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GNT2S,4320,98.7251829,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GNT3S,3176,99.0376324,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GOBCS,2375,99.2554035,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,GSEBCS,3450,98.9747774,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LOPENS,2459,99.2350948,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LSCS,11806,96.6434983,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LSTS,64420,80.3575863,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LNT1S,9965,97.1468531,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LNT2S,11694,96.6549667,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LNT3S,12134,96.5212532,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LOBCS,4400,98.7167869,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,LSEBCS,5661,98.3620436,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,PWDOPENS,52766,84.1131441,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,PWDOBCS,128643,54.5739657,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,DEFOPENS,3475,98.9620141,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,DEFOBCS,8660,97.513986,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,TFWS,2388,99.2498437,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,PWDROBCS,97224,68.4887011,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,DEFROBCS,8099,97.664739,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,ORPHAN,179369,23.4132019,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301229310,Electrical Engineering,EWS,4373,98.7173162,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GOPENS,742,99.7268438,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GSCS,6735,98.0675795,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GSTS,19629,94.3106153,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GNT1S,2637,99.1769119,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GNT2S,2828,99.1386926,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GNT3S,1325,99.5546231,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GOBCS,1445,99.5226395,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,GSEBCS,1687,99.4545455,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LOPENS,1027,99.6375104,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LSCS,10124,97.0975309,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LSTS,50958,84.7618697,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LVJS,20682,93.9899228,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LNT1S,5682,98.3580268,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LOBCS,1872,99.3963644,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,LSEBCS,1842,99.407391,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,PWDOPENS,22086,93.5806832,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,PWDOBCS,38388,88.6328671,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,DEFOPENS,2599,99.1933405,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,DEFOBCS,6415,98.1588563,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,TFWS,1134,99.6068796,Stage I,2025-26,1,2
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301237210,Electronics And Telecommunication Engg,PWDRNT2S,29833,91.3015715,Stage I,2025-26,1,2
